PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM;DREMPEL_AANTAL;DREMPEL_GEM;aantal;@2toets;N_DLN_2015;N_AFN_2015;TOETS_2015;SCORE_2015;TOETS_2_2015;SCORE_2_2015;Weeg_t_1;Weeg_t_2;TOETS_2014;N_AFN_2014;N_DLN_2014;N_DLN_2014_rw;SCORE_2014;SCORE_2014_rw;TOETS_2013;N_AFN_2013;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;middenopleiding;hogeopleiding;inkomen;leefbaar;gew03;gew12;noat;uitslagtoets2014;uitslagtoets2014taal;uitslagtoets2014reken;uitslagtoets2014tot;uitslagtoets2013;uitslagtoets2013taal;uitslagtoets2013reken;uitslagtoets2013tot;uitslagtoets2015;auitslagtoets2015;buitslagtoets2015;tellerdeelname;noemerdeelname;deelnaamper;meantoets;waretoets;PRE_1;RES_1;cijfer;check;warecijfer;quasicito;verwachtecito
20141001;20150918;13CW;00;Basisschool de Ichthus;1316EP;ALMERE;34;Almere;Flevoland;Bo;Protestants-Christelijk;40114;15;1;14;536.1;0;.;0;.;0;.;1;Nee;14;14;Cito;536,1;;#LEEG!;#LEEG!;#LEEG!;cito;17;17;0;534,1;#LEEG!;cito;31;31;0;530,6;#LEEG!;35,037037037037000;15,7407407407407000;34914,197530864200;-15,1463387654321000;5,5555555555555600;3,7037037037037000;21,0526315789474000;0,152;#LEEG!;#LEEG!;#LEEG!;-0,717;#LEEG!;#LEEG!;#LEEG!;0,513;#LEEG!;#LEEG!;20,667;20,667;100,000;-0,017;-0,017;0,00459;-0,02173; 6,98 ; 3,00 ;6,978273031;533,9495387;534,0375981
20141001;20150918;04XL;00;Basisschool St Jozef;6181CL;ELSLOO LB;971;Stein;Limburg;Bo;Rooms-Katholiek;83280;25;0;25;537.4;0;.;0;.;0;.;1;Nee;25;25;Cito;537,4;;#LEEG!;#LEEG!;#LEEG!;cito;32;32;0;535,0;#LEEG!;cito;30;30;0;535,0;#LEEG!;34,985074626865700;17,8805970149254000;35542,786069651700;19,7317458706468000;1,4925373134328400;1,4925373134328400;2,9556650246305400;0,363;#LEEG!;#LEEG!;#LEEG!;0,327;#LEEG!;#LEEG!;#LEEG!;0,834;#LEEG!;#LEEG!;29,000;29,000;100,000;0,508;0,508;0,52989;-0,02189; 6,98 ; 3,00 ;6,97811207;536,077922;536,1666338
20141001;20150918;10EJ;00;Basisschool Jan Ligthart;7021AT;ZELHEM;1876;Bronckhorst;Gelderland;Bo;Openbaar;41371;26;0;26;536.2;0;.;0;.;0;.;1;Nee;26;26;Cito;536,2;;#LEEG!;#LEEG!;#LEEG!;cito;43;42;0;532,7;#LEEG!;cito;37;37;0;534,2;#LEEG!;37,970212765957400;11,0893617021277000;34543,404255319100;19,4401511489362000;6,8085106382978700;1,2765957446808500;4,0485829959514200;-0,176;#LEEG!;#LEEG!;#LEEG!;0,137;#LEEG!;#LEEG!;#LEEG!;0,538;#LEEG!;#LEEG!;35,000;35,333;99,057;0,166;0,140;0,16196;-0,02208; 6,98 ; 2,00 ;6,977924656;534,6930073;534,6754183
20141001;20150918;20IQ;00;RK Bs de Driesprong;3762CZ;SOEST;342;Soest;Utrecht;Bo;Rooms-Katholiek;65430;26;0;26;536.7;0;.;0;.;0;.;1;Nee;26;26;Cito;536,7;;#LEEG!;#LEEG!;#LEEG!;cito;26;26;0;536,6;#LEEG!;cito;25;29;0;536,5;#LEEG!;34,744493392070500;24,4229074889868000;38391,629955947100;21,5129391189427000;0,8810572687224670;1,7621145374449300;2,5531914893617000;0,738;#LEEG!;#LEEG!;#LEEG!;0,682;#LEEG!;#LEEG!;#LEEG!;0,661;#LEEG!;#LEEG!;27,000;25,667;100,000;0,694;0,694;0,71616;-0,02208; 6,98 ; 2,00 ;6,977916779;536,8320806;536,9215838
20141001;20150918;09CW;00;C.B.S. Overschie;3043CH;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;40237;30;4;26;532.7;0;.;0;.;0;.;1;Nee;26;26;Cito;532,7;;#LEEG!;#LEEG!;#LEEG!;cito;48;45;0;531,2;#LEEG!;cito;22;22;0;536,6;#LEEG!;31,739495798319300;16,9075630252101000;32991,634980988600;-4,9784135606060600;16,6666666666667000;3,7878787878787900;10,1818181818182000;-0,528;#LEEG!;#LEEG!;#LEEG!;0,706;#LEEG!;#LEEG!;#LEEG!;-0,325;#LEEG!;#LEEG!;31,000;32,000;96,875;-0,049;-0,137;-0,11406;-0,02247; 6,98 ; 2,00 ;6,977526457;533,8202643;533,556712
20141001;20150918;15LL;00;Augustinusschool;1216NH;HILVERSUM;402;Hilversum;Noord-Holland;Bo;Rooms-Katholiek;78912;29;0;29;537.2;0;.;0;.;0;.;1;Nee;29;29;Cito;537,2;;#LEEG!;#LEEG!;#LEEG!;cito;43;43;0;532,2;#LEEG!;cito;28;28;0;535,2;#LEEG!;36,584033613445400;20,4621848739496000;33942,677824267800;16,9125761506276000;6,6945606694560700;3,7656903765690400;3,8135593220339000;-0,293;#LEEG!;#LEEG!;#LEEG!;0,374;#LEEG!;#LEEG!;#LEEG!;0,785;#LEEG!;#LEEG!;33,333;33,333;100,000;0,289;0,289;0,31113;-0,02261; 6,98 ; 3,00 ;6,977394334;535,1884043;535,2800251
20141001;20150918;10HV;00;Basisschool De Fonkeling;5351LB;BERGHEM;828;Oss;Noord-Brabant;Bo;Rooms-Katholiek;75388;1;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;cito;99;98;0;534,2;#LEEG!;cito;112;112;0;536,7;#LEEG!;34,001295336787600;14,8834196891192000;38456,838143036400;16,1424359347553000;3,5131744040150600;0,5018820577164370;2,0125786163522000;0,176;#LEEG!;#LEEG!;#LEEG!;0,730;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;70,000;70,333;99,526;0,453;0,439;0,46224;-0,02278; 6,98 ; 3,00 ;6,977220809;535,8539029;535,8924431
20141001;20150918;11SK;00;Basissch Jul v Stolberg;1901CE;CASTRICUM;383;Castricum;Noord-Holland;Bo;Openbaar;41191;36;0;36;535.6;0;.;0;.;0;.;1;Nee;36;36;Cito;535,6;;#LEEG!;#LEEG!;#LEEG!;cito;31;31;0;535,5;#LEEG!;cito;28;27;0;539,6;#LEEG!;36,851528384279500;27,0043668122271000;38320,087336244500;29,1548871179039000;2,6200873362445400;0,4366812227074240;0,8771929824561400;0,480;#LEEG!;#LEEG!;#LEEG!;1,418;#LEEG!;#LEEG!;#LEEG!;0,390;#LEEG!;#LEEG!;31,333;31,667;98,947;0,763;0,733;0,75608;-0,02282; 6,98 ; 3,00 ;6,977182173;537,1103554;537,0833793
20141001;20150918;10RI;00;Koningin Julianaschool;3931PT;WOUDENBERG;351;Woudenberg;Utrecht;Bo;Protestants-Christelijk;41337;39;0;39;536.4;0;.;0;.;0;.;1;Nee;39;39;Cito;536,4;;#LEEG!;#LEEG!;#LEEG!;cito;36;36;0;530,7;#LEEG!;cito;41;41;0;538,1;#LEEG!;36,909465020576100;18,1358024691358000;38864,609053497900;23,6211523456790000;4,1152263374485600;6,5843621399177000;2,6200873362445400;-0,645;#LEEG!;#LEEG!;#LEEG!;1,062;#LEEG!;#LEEG!;#LEEG!;0,587;#LEEG!;#LEEG!;38,667;38,667;100,000;0,335;0,335;0,35769;-0,02291; 6,98 ; 3,00 ;6,97709074;535,3758843;535,4687355
20141001;20150918;17CY;00;OBS SJ Bouma;9713VA;GRONINGEN;14;Groningen;Groningen;Bo;Openbaar;42510;13;0;13;539.2;0;.;0;.;0;.;1;Nee;13;13;Cito;539,2;;#LEEG!;#LEEG!;#LEEG!;cito;14;15;0;526,7;#LEEG!;cito;16;16;0;528,1;#LEEG!;39,028169014084500;30,3521126760563000;23778,873239436600;-10,3557053521127000;20,4225352112676000;16,9014084507042000;9,7744360902255600;-1,583;#LEEG!;#LEEG!;#LEEG!;-1,310;#LEEG!;#LEEG!;#LEEG!;1,278;#LEEG!;#LEEG!;14,667;14,333;100,000;-0,538;-0,538;-0,51520;-0,02299; 6,98 ; 3,00 ;6,977008468;531,837701;531,9308857
